Parent_Url,Extracted_Tools
Business-to-business,['Interloop_Limited']
Business_intelligence,"['SAP_BusinessObjects_Lumira', 'Oracle_Business_Intelligence_Suite_Enterprise_Edition', 'Microsoft_Power_Platform', 'Microsoft_Power_BI', 'InfoZoom', 'SAP_IQ', 'Grafana', 'Metatron_Discovery', 'Apache_Superset', 'Oracle_Discoverer', 'IBM_Cognos_Analytics']"
Business_logic,"['Create,_read,_update_and_delete']"
Business_model,['Party_plan']
Business_process,"['Apache_OFBiz', 'Social_media', 'Instagram']"
Business_process_management,"['Enterprise_software', 'Fabasoft_eGov-Suite', 'Bizagi', 'Activiti_(software)', 'Flowable', 'Omnitracker']"
Business_process_modeling,"['JBPM', 'Generalised_Enterprise_Reference_Architecture_and_Methodology', 'IBM_Blueworks_Live']"
Business_rule,['Drools']
C4.5_algorithm,['Weka_(machine_learning)']
CAN_bus,"['Power_window', 'Gran_Turismo_6', 'Cubesat_Space_Protocol']"
COBIT,['Business_Information_Services_Library']
COBOL,"['BLIS/COBOL', 'Z/VSE', '.NET_Framework', 'Z/OS', 'OpenVMS', 'IBM_COBOL', 'Microsoft_Windows', 'ICL_VME', 'MVS', 'Micro_Focus_International', 'Batch_processing', 'GnuCOBOL', 'Unix', 'Operating_system']"
CPU_cache,['Cray-1']
CUDA,"['Julia_(programming_language)', 'Linux', 'MATLAB', 'BrookGPU', 'SYCL', 'OpenGL', 'NVIDIA_CUDA_Compiler', 'GPUOpen', 'CuPy', 'Microsoft_Windows', 'DirectCompute', 'Vulkan_(API)', 'Bullet_(software)', 'RCUDA', 'C++_AMP', 'Berkeley_Open_Infrastructure_for_Network_Computing', 'Windows', 'Proprietary_software', 'PhysX', 'OpenMP', 'TensorFlow', 'MacOS']"
Cable_modem,"['Digital_Video_Broadcasting', 'HP_OpenView']"
Cache_prefetching,['Link_prefetching']
