Tool Name,Alternate Tool Names
Alt-Ergo,"[nan, nan, nan]"
Monte_Carlo_tree_search,"['monte carlo tree, monte-carlo tree search', 'monte carlo tree, monte-carlo tree search', 'monte carlo tree, monte-carlo tree search', 'monte carlo tree, monte-carlo tree search']"
PyTorch,"['pytorch.org, pytorch', 'pytorch.org, pytorch', 'pytorch.org, pytorch', 'pytorch.org, pytorch']"
Flux_(machine-learning_framework),"[nan, nan, nan]"
Deeplearning4j,"['dl4j', 'dl4j', 'dl4j', 'dl4j', 'dl4j', 'dl4j', 'dl4j', 'dl4j']"
TensorFlow,"['distbelief, tensorflow, tensorboard, tensorflow.org, tensor flow, tensorflow-directml, tensorflow lite', 'distbelief, tensorflow, tensorboard, tensorflow.org, tensor flow, tensorflow-directml, tensorflow lite', 'distbelief, tensorflow, tensorboard, tensorflow.org, tensor flow, tensorflow-directml, tensorflow lite', 'distbelief, tensorflow, tensorboard, tensorflow.org, tensor flow, tensorflow-directml, tensorflow lite', 'distbelief, tensorflow, tensorboard, tensorflow.org, tensor flow, tensorflow-directml, tensorflow lite', 'distbelief, tensorflow, tensorboard, tensorflow.org, tensor flow, tensorflow-directml, tensorflow lite']"
Caffe_(software),"['caffe2', 'caffe2', 'caffe2', 'caffe2', 'caffe2']"
NumPy,"['numeric python, numarray, numpy, .npz, numerical python', 'numeric python, numarray, numpy, .npz, numerical python', 'numeric python, numarray, numpy, .npz, numerical python']"
Theano_(software),"['theano (math compiler)', 'theano (math compiler)', 'theano (math compiler)', 'theano (math compiler)']"
Chainer,"[nan, nan, nan]"
Microsoft_Cognitive_Toolkit,"['cntk', 'cntk', 'cntk', 'cntk', 'cntk']"
Keras,"[nan, nan, nan, nan, nan]"
Swoogle,"['swoogle.umbc.edu', 'swoogle.umbc.edu']"
SSWAP,"['sswap', 'sswap']"
Protï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,"['protege (software)', 'protege (software)']"
PhpWiki,"['php wiki, phpwiki']"
SPARQL,"['.rq, sparql, sparql protocol and rdf query language, semantic pipes, sparql query results json format, sparql endpoint, mashql', '.rq, sparql, sparql protocol and rdf query language, semantic pipes, sparql query results json format, sparql endpoint, mashql', '.rq, sparql, sparql protocol and rdf query language, semantic pipes, sparql query results json format, sparql endpoint, mashql']"
Wikibase,[nan]
OntoWiki,[nan]
XWiki,"['xwiki, xwiki.com']"
Profit_risk,"[nan, nan]"
Instagram,"['criticism of instagram, instagram direct, instergram, instagram, instagram.com, mental health impact of instagram, instagram stories, censorship of instagram, boomerang in instagram, allegations of censorship on instagram, burbn, instagram trends, insta, instragram, instagram reels, instagran, instagram live, effects of instagram on mental health, layout from instagram, instagram, instagram from facebook, instagr.am, instagrammer, inc., instagram story, instant gram, @instagram, instagram kids', 'criticism of instagram, instagram direct, instergram, instagram, instagram.com, mental health impact of instagram, instagram stories, censorship of instagram, boomerang in instagram, allegations of censorship on instagram, burbn, instagram trends, insta, instragram, instagram reels, instagran, instagram live, effects of instagram on mental health, layout from instagram, instagram, instagram from facebook, instagr.am, instagrammer, inc., instagram story, instant gram, @instagram, instagram kids']"
GNU_Lesser_General_Public_License,"['lgpl 2.0, gnu library gpl, gnu/lgpl, lgpl-2.0-only, lgpl-3.0-only, lgpl-3.0, gnu library public license, lgpl license, gnu lesser general public licence, gnu lpgl, lgplv3, lesser gnu general public license, llgpl, lesser gpl, lgplv3.0, gnu lgpl, lgpl 2.1, glgpl, lesser general public license, gnu library general public license, lgpl 2, lesser gnu public license, library general public license, lgplv2.0, gnu free license, gnu library general public licence, lpgl, lgpl-3.0-or-later, lgplv2.1, lgpl, lgpl-2.1-or-later, lgpl-2.0-or-later, lgpl-2.1-only, gnu lesser public license']"
Visual_Basic_for_Applications,"['microsoft visual basic for applications, word macro, visual basic for applications, microsoft word macro, vba (programming language), visual basic for applications programming language, vba macros, macro microsoft word', 'microsoft visual basic for applications, word macro, visual basic for applications, microsoft word macro, vba (programming language), visual basic for applications programming language, vba macros, macro microsoft word', 'microsoft visual basic for applications, word macro, visual basic for applications, microsoft word macro, vba (programming language), visual basic for applications programming language, vba macros, macro microsoft word', 'microsoft visual basic for applications, word macro, visual basic for applications, microsoft word macro, vba (programming language), visual basic for applications programming language, vba macros, macro microsoft word']"
Microsoft_Excel,"['.xltm, excel.exe, excel 2010, microsoft excel file formats, microsoft excel viewer, excel add-in application, excel (microsoft), xls f excel 2007, excel viewer, excel spreadsheet, microsoft excel 2004, microsoft excel 95, excel addin applications, microsoft excel 2002, .xls, .xlm, microsoft excel:mac, excel function, .xll, microsoft office excel, microsoft excel add-in applications, microsoft excel add-ins, microsoft xl, .xla, microsoft excel addins, xlw, microsoft excel addin, .xls files, .xlam, .xlsb, microsoft excel 2003, .xld, excel vba, microsoft excel file format, .xlv, .xlk, excel addins, excel addin application, excel web app, xls file, excel add-in applications, ms excel, .xlw, excel macro, .xlc, microsoft(r) excel(r), excel addin, .xlt, microsoft excel addin application, excel add-ins, microsoft excel, microsoft excel add-in application, microsoft excel xp, excel table, office excel, .xlb, microsoft excel add-in, excel add-in, .xls file, excel, microsoft excel addin applications', '.xltm, excel.exe, excel 2010, microsoft excel file formats, microsoft excel viewer, excel add-in application, excel (microsoft), xls f excel 2007, excel viewer, excel spreadsheet, microsoft excel 2004, microsoft excel 95, excel addin applications, microsoft excel 2002, .xls, .xlm, microsoft excel:mac, excel function, .xll, microsoft office excel, microsoft excel add-in applications, microsoft excel add-ins, microsoft xl, .xla, microsoft excel addins, xlw, microsoft excel addin, .xls files, .xlam, .xlsb, microsoft excel 2003, .xld, excel vba, microsoft excel file format, .xlv, .xlk, excel addins, excel addin application, excel web app, xls file, excel add-in applications, ms excel, .xlw, excel macro, .xlc, microsoft(r) excel(r), excel addin, .xlt, microsoft excel addin application, excel add-ins, microsoft excel, microsoft excel add-in application, microsoft excel xp, excel table, office excel, .xlb, microsoft excel add-in, excel add-in, .xls file, excel, microsoft excel addin applications', '.xltm, excel.exe, excel 2010, microsoft excel file formats, microsoft excel viewer, excel add-in application, excel (microsoft), xls f excel 2007, excel viewer, excel spreadsheet, microsoft excel 2004, microsoft excel 95, excel addin applications, microsoft excel 2002, .xls, .xlm, microsoft excel:mac, excel function, .xll, microsoft office excel, microsoft excel add-in applications, microsoft excel add-ins, microsoft xl, .xla, microsoft excel addins, xlw, microsoft excel addin, .xls files, .xlam, .xlsb, microsoft excel 2003, .xld, excel vba, microsoft excel file format, .xlv, .xlk, excel addins, excel addin application, excel web app, xls file, excel add-in applications, ms excel, .xlw, excel macro, .xlc, microsoft(r) excel(r), excel addin, .xlt, microsoft excel addin application, excel add-ins, microsoft excel, microsoft excel add-in application, microsoft excel xp, excel table, office excel, .xlb, microsoft excel add-in, excel add-in, .xls file, excel, microsoft excel addin applications', '.xltm, excel.exe, excel 2010, microsoft excel file formats, microsoft excel viewer, excel add-in application, excel (microsoft), xls f excel 2007, excel viewer, excel spreadsheet, microsoft excel 2004, microsoft excel 95, excel addin applications, microsoft excel 2002, .xls, .xlm, microsoft excel:mac, excel function, .xll, microsoft office excel, microsoft excel add-in applications, microsoft excel add-ins, microsoft xl, .xla, microsoft excel addins, xlw, microsoft excel addin, .xls files, .xlam, .xlsb, microsoft excel 2003, .xld, excel vba, microsoft excel file format, .xlv, .xlk, excel addins, excel addin application, excel web app, xls file, excel add-in applications, ms excel, .xlw, excel macro, .xlc, microsoft(r) excel(r), excel addin, .xlt, microsoft excel addin application, excel add-ins, microsoft excel, microsoft excel add-in application, microsoft excel xp, excel table, office excel, .xlb, microsoft excel add-in, excel add-in, .xls file, excel, microsoft excel addin applications', '.xltm, excel.exe, excel 2010, microsoft excel file formats, microsoft excel viewer, excel add-in application, excel (microsoft), xls f excel 2007, excel viewer, excel spreadsheet, microsoft excel 2004, microsoft excel 95, excel addin applications, microsoft excel 2002, .xls, .xlm, microsoft excel:mac, excel function, .xll, microsoft office excel, microsoft excel add-in applications, microsoft excel add-ins, microsoft xl, .xla, microsoft excel addins, xlw, microsoft excel addin, .xls files, .xlam, .xlsb, microsoft excel 2003, .xld, excel vba, microsoft excel file format, .xlv, .xlk, excel addins, excel addin application, excel web app, xls file, excel add-in applications, ms excel, .xlw, excel macro, .xlc, microsoft(r) excel(r), excel addin, .xlt, microsoft excel addin application, excel add-ins, microsoft excel, microsoft excel add-in application, microsoft excel xp, excel table, office excel, .xlb, microsoft excel add-in, excel add-in, .xls file, excel, microsoft excel addin applications']"
Unix-like,"['unixoid, unx, functional unix, unix-style, *n*x, unix like, unixen, unix clone, unix-like system, *nices, compatibility layers for unix-like operating systems, genetic unix, branded unix, unix-like, un*x, *nix, open source unix, unix-alike, *nice, unix-like operating system, trademark unix, unix-like os, unices']"
Apache_HTTP_Server,"['httpd.conf, apache www server, apache (server), a patchy server, apache2ctl, apache http, apache (web server), apache server, apache (webserver), apache 2.4, www-data, apache 1.3, apache webserver, apache2, stronghold (software), apache web server, apache http server, apache httpd, apache (computing), apache 2.2, apachectl, apache (http server)', 'httpd.conf, apache www server, apache (server), a patchy server, apache2ctl, apache http, apache (web server), apache server, apache (webserver), apache 2.4, www-data, apache 1.3, apache webserver, apache2, stronghold (software), apache web server, apache http server, apache httpd, apache (computing), apache 2.2, apachectl, apache (http server)']"
Hypertext_Transfer_Protocol,"['options (http), hypertext transfer protocall, http 1.0, http method, trace request, http upload, http delete request, http get request, http response, http put request, http trace, http 0.9, hyper-text transfer protocol, rfc 2616, http options request, put (http), connect request, http head, connect (http), http, put request, trace (http), http/1.0, http/1.1, http 1.1, http head request, http;, request method, delete (http), http get, http session, hypertext transfer protocol, get (http), head request, get requests, http request, http trace request, http:%5c%5c, delete request, hypertext protocol, http connect, options request, http verbs, http protocol, http post/get requests, htttp, httpa, http connect request, http options, head (http), get request, hyper text transfer protocol, http-ng, http delete, http requests, http put, hypertext transport protocol, http., http/0.9, http://, rfc2616, http:', 'options (http), hypertext transfer protocall, http 1.0, http method, trace request, http upload, http delete request, http get request, http response, http put request, http trace, http 0.9, hyper-text transfer protocol, rfc 2616, http options request, put (http), connect request, http head, connect (http), http, put request, trace (http), http/1.0, http/1.1, http 1.1, http head request, http;, request method, delete (http), http get, http session, hypertext transfer protocol, get (http), head request, get requests, http request, http trace request, http:%5c%5c, delete request, hypertext protocol, http connect, options request, http verbs, http protocol, http post/get requests, htttp, httpa, http connect request, http options, head (http), get request, hyper text transfer protocol, http-ng, http delete, http requests, http put, hypertext transport protocol, http., http/0.9, http://, rfc2616, http:']"
Open_Agent_Architecture,[nan]
User_agent,"['www user agent, web user agent, web agent, ua product tokens, user-agent, user agent identification, user-agent product token, user-agent string, ua product token, user agent spoofing, user agent, http user agent, browser signature, useragentstring, user agents, useragent, browser id, user agent string, w3 user agent', 'www user agent, web user agent, web agent, ua product tokens, user-agent, user agent identification, user-agent product token, user-agent string, ua product token, user agent spoofing, user agent, http user agent, browser signature, useragentstring, user agents, useragent, browser id, user agent string, w3 user agent']"
Java_Agent_Development_Framework,"['java agent development framework', 'java agent development framework', 'java agent development framework']"
Post_Office_Protocol,"['apop, secure post office protocol, pop version 3, pop3s, port 110, kerberized post office protocol, pop3, pop email, standard dial-up pop3 service, apop (email protocol), uidl, pop 3, stls, pop server, post office protocol', 'apop, secure post office protocol, pop version 3, pop3s, port 110, kerberized post office protocol, pop3, pop email, standard dial-up pop3 service, apop (email protocol), uidl, pop 3, stls, pop server, post office protocol']"
Siri,"['siri (macos), siri personal assistant, siri (ios), siri inc, siri (apple), siri inc., hey siri, apple siri, siri (software)', 'siri (macos), siri personal assistant, siri (ios), siri inc, siri (apple), siri inc., hey siri, apple siri, siri (software)', 'siri (macos), siri personal assistant, siri (ios), siri inc, siri (apple), siri inc., hey siri, apple siri, siri (software)', 'siri (macos), siri personal assistant, siri (ios), siri inc, siri (apple), siri inc., hey siri, apple siri, siri (software)']"
Rel_(DBMS),"[nan, nan]"
Picasa,"['hello (software), picasa2, picasa 3.0, pikasa, google picasa, hello by picasa, google picassa, neven vision, picassa, picasa web albums uploader, google+ photos, picasaweb, picasa 2.7, picasa 2']"
Brain.js,"[nan, nan]"
LIONsolver,"['reactive search optimization, reactive search, reactive business intelligence', 'reactive search optimization, reactive search, reactive business intelligence', 'reactive search optimization, reactive search, reactive business intelligence', 'reactive search optimization, reactive search, reactive business intelligence', 'reactive search optimization, reactive search, reactive business intelligence']"
Someday_or_One_Day,['someday or one day']
Futmalls,['futmalls.com']
TANGO,['tango controls']
Graphical_user_interface,"['graphical computer, displayed to the drivers, 3d graphical user interface, desktop (computing), graphical-user interface, 3d graphical user interfaces, graphical environment, window chrome, graphical user environment, user interface chrome, graphical interface, graphics-based user interface, graphical environments, 3d interface, graphical interfaces, chrome (user interface), 3d guis, graphical user interfaces, graphical tool, graphic user interface, graphic interface, ui chrome, gui, graphical user interface, 3d gui', 'graphical computer, displayed to the drivers, 3d graphical user interface, desktop (computing), graphical-user interface, 3d graphical user interfaces, graphical environment, window chrome, graphical user environment, user interface chrome, graphical interface, graphics-based user interface, graphical environments, 3d interface, graphical interfaces, chrome (user interface), 3d guis, graphical user interfaces, graphical tool, graphic user interface, graphic interface, ui chrome, gui, graphical user interface, 3d gui', 'graphical computer, displayed to the drivers, 3d graphical user interface, desktop (computing), graphical-user interface, 3d graphical user interfaces, graphical environment, window chrome, graphical user environment, user interface chrome, graphical interface, graphics-based user interface, graphical environments, 3d interface, graphical interfaces, chrome (user interface), 3d guis, graphical user interfaces, graphical tool, graphic user interface, graphic interface, ui chrome, gui, graphical user interface, 3d gui']"
Audio_Video_Standard,"['avs (codec), avs1, avs2']"
STL_(file_format),"['.stl, stl format, stl file format, stl file']"
Carrot2,"['search.carrot2.org, carrot2.org', 'search.carrot2.org, carrot2.org']"
Twelf,[nan]
KeY,"['key system', 'key system']"
Paradox_(theorem_prover),[nan]
Jape_(software),['bernard sufrin']
Vampire_(theorem_prover),"['vampire theorem prover, reasoner vampire, vampire reasoner, theorem prover vampire']"
System_on_TPTP,[nan]
SPASS,"['synergetic prover augmenting superposition with sorts, spass theorem prover']"
Eclipse_(software),"['mylyn, eclipse (platform), java eclipse, eclipse europa, eclipse sdk, eclipse platform, eclipse (computing), eclipse (sdk), eclipse ide, yoxos ondemand, eclipse rcp, eclipse adt, java emitter templates, eclipse software, eclipse (ide), eclipse classic, eclipse galileo, eclipse.org, eclipse ganymede, web tools platform, eclipse java, yoxos, eclipse kura', 'mylyn, eclipse (platform), java eclipse, eclipse europa, eclipse sdk, eclipse platform, eclipse (computing), eclipse (sdk), eclipse ide, yoxos ondemand, eclipse rcp, eclipse adt, java emitter templates, eclipse software, eclipse (ide), eclipse classic, eclipse galileo, eclipse.org, eclipse ganymede, web tools platform, eclipse java, yoxos, eclipse kura', 'mylyn, eclipse (platform), java eclipse, eclipse europa, eclipse sdk, eclipse platform, eclipse (computing), eclipse (sdk), eclipse ide, yoxos ondemand, eclipse rcp, eclipse adt, java emitter templates, eclipse software, eclipse (ide), eclipse classic, eclipse galileo, eclipse.org, eclipse ganymede, web tools platform, eclipse java, yoxos, eclipse kura']"
Wolfram_Mathematica,"['mathmatica, mathematica, wolframs mathematica, wolfram mathematica (software), mathlink, webmathematica, wolfram mathematica 7.0, wolfram data framework, wolfram mathematica 9.0 : www.wolfram.com, publicon']"
SwisTrack,['swistrack']
Digest_access_authentication,"['digest-md5, digest access authentication, http digest authentication, digest authentication, digest authentication scheme, digestaccessauthentication']"
Kerberos_(protocol),"['krb5, ebones, kerberosprotocol, windows 2000 security, kerberos ticket, service principal name, kerberos 5, kerberos protocol, kerberos-protocols, setspn, kerberized', 'krb5, ebones, kerberosprotocol, windows 2000 security, kerberos ticket, service principal name, kerberos 5, kerberos protocol, kerberos-protocols, setspn, kerberized']"
Password_Authentication_Protocol,"['password authentication protocol, pap (computer)']"
SPIN_model_checker,"['spin (model checker), spin (verification system), spin model checker', 'spin (model checker), spin (verification system), spin model checker']"
Microsoft_Academic_Search,"['masid, microsoft academic search id, libra (academic search)', 'masid, microsoft academic search id, libra (academic search)']"
QuickCheck,"['quick check, quickcheck', 'quick check, quickcheck']"
Uppaal_Model_Checker,"['uppaal, uppaal model checker', 'uppaal, uppaal model checker']"
PostScript,"['postscript 3, postscript programming language, postscript, postscript language, pscript.drv, adobe postscript, postscipt, ps (vector graphics language), postscript (programming language)', 'postscript 3, postscript programming language, postscript, postscript language, pscript.drv, adobe postscript, postscipt, ps (vector graphics language), postscript (programming language)']"
Scientific_American_Mind,['sciammind']
DVD,"['digital video discs, dvd18, pc-dvd, dual layer, dvd drive, 1x dvd-rom, dvds, dvd9, digital versatile disc, dvdactive, dvd10, dual-layer recording, optical disk device, dvd-rom, dvd drives, dvd-rom drive, dvd-18, dee vee dee, dvd5, 4x dvd, dvd, 8x dvd, digital video disk, dvd dual layer, 12x dvd, dual layer dvd, digital video disc, dvd-rom dl, m, dvd-rom dual layer, dual-layer dvd, dvd-roms, dvd dual-layer, dvd rom, digital versatile disk, dvd-14, dvd dl, dvd-5, dvd size labels, digital versatile discs, super density disc, dvd-10, dogital versatile disk, dvd-9, dual layer recording, digital videodisc, 2x dvd, dual-layer, d.v.d., pc dvd-rom, history of dvds, 16x dvd', 'digital video discs, dvd18, pc-dvd, dual layer, dvd drive, 1x dvd-rom, dvds, dvd9, digital versatile disc, dvdactive, dvd10, dual-layer recording, optical disk device, dvd-rom, dvd drives, dvd-rom drive, dvd-18, dee vee dee, dvd5, 4x dvd, dvd, 8x dvd, digital video disk, dvd dual layer, 12x dvd, dual layer dvd, digital video disc, dvd-rom dl, dvd-rom dual layer, dual-layer dvd, dvd-roms, dvd dual-layer, dvd rom, digital versatile disk, dvd-14, dvd dl, dvd-5, dvd size labels, digital versatile discs, multimedia compact disc, mmcd, super density disc, dvd-10, dogital versatile disk, dvd-9, dual layer recording, digital videodisc, 2x dvd, dual-layer, d.v.d., xd, pc dvd-rom, history of dvds, 16x dvd', 'digital video discs, dvd18, pc-dvd, dual layer, dvd drive, 1x dvd-rom, dvds, dvd9, digital versatile disc, dvdactive, dvd10, dual-layer recording, optical disk device, dvd-rom, dvd drives, dvd-rom drive, dvd-18, dee vee dee, dvd5, 4x dvd, dvd, 8x dvd, digital video disk, dvd dual layer, 12x dvd, dual layer dvd, digital video disc, dvd-rom dl, m, dvd-rom dual layer, dual-layer dvd, dvd-roms, dvd dual-layer, dvd rom, digital versatile disk, dvd-14, dvd dl, dvd-5, dvd size labels, digital versatile discs, super density disc, dvd-10, dogital versatile disk, dvd-9, dual layer recording, digital videodisc, 2x dvd, dual-layer, d.v.d., pc dvd-rom, history of dvds, 16x dvd']"
Microsoft_HealthVault,['healthvault']
Patient_portal,['patient portals']
Steam_(service),"['steam market, steamcommunity.com, steam (software), steam chiom, steam (content delivery service), steamworks, steam cloud, steam forums, steamgames.com, steam marketplace, store.steampowered, community market, steampowered, steam (digital distribution platform), steamplay, steam tv, steam game platform, steam service, steam community market, steamcommunity, steam.tv, steam games, steam (program), steam client, steam content delivery, steam (gaming), steam greenlight, steamvr, steam website, steam (website), steampowered.com, steam (platform), steam store, steam (valve), valve steam, steam direct, steam play, steam (content delivery), steam community, steam (video games), steam (distribution platform), steam chat, steam software, steam (store), steam (online service), steam workshop', 'steam market, steamcommunity.com, steam (software), steam chiom, steam (content delivery service), steamworks, steam cloud, steam forums, steamgames.com, steam marketplace, store.steampowered, community market, steampowered, steam (digital distribution platform), steamplay, steam tv, steam game platform, steam service, steam community market, steamcommunity, steam.tv, steam games, steam (program), steam client, steam content delivery, steam (gaming), steam greenlight, steamvr, steam website, steam (website), steampowered.com, steam (platform), steam store, steam (valve), valve steam, steam direct, steam play, steam (content delivery), steam community, steam (video games), steam (distribution platform), steam chat, steam software, steam (store), steam (online service), steam workshop']"
Evolver_(software),[nan]
Knowledge_Query_and_Manipulation_Language,"['kqml, knowledge query & manipulation language', 'kqml, knowledge query & manipulation language']"
MaSMT,"['masmt', 'masmt']"
Artificial_life_framework,"[nan, nan]"
Feature_Selection_Toolbox,"[nan, nan]"
Modular_Audio_Recognition_Framework,"['marf: modular audio recognition framework', 'marf: modular audio recognition framework', 'marf: modular audio recognition framework']"
ArangoDB,"['avocadodb, aql (arangodb query language)', 'avocadodb, aql (arangodb query language)']"
IBM_Db2,"['ibm db2 express-c, db2 everyplace, purequery, ibm viper, db2 (formerly db2 for luw), ibm db2, sqlca, db2 express, db2 for linux, db2 database, db2 dwe, db2 udb, ibm db2 family, db/2, db2, db2 for i, unix and windows, db2/400, ibm purequery, database 2, db2/2', 'ibm db2 express-c, db2 everyplace, purequery, ibm viper, db2 (formerly db2 for luw), ibm db2, sqlca, db2 express, db2 for linux, db2 database, db2 dwe, db2 udb, ibm db2 family, db/2, db2, db2 for i, unix and windows, db2/400, ibm purequery, database 2, db2/2']"
Microsoft_SQL_Server,"['port 1433, data source views, data quality services, ms sql server, ms sql, ms-sql, microsoft sql, sqlcmd, pubs (database), sys.sysobjects, mssql, database engine tuning advisor, microsoft sql server, microsoft sql server compare tools, concurrency control in sql server', 'port 1433, data source views, data quality services, ms sql server, ms sql, ms-sql, microsoft sql, sqlcmd, pubs (database), sys.sysobjects, mssql, database engine tuning advisor, microsoft sql server, microsoft sql server compare tools, concurrency control in sql server', 'port 1433, data source views, data quality services, ms sql server, ms sql, ms-sql, microsoft sql, sqlcmd, pubs (database), sys.sysobjects, mssql, database engine tuning advisor, microsoft sql server, microsoft sql server compare tools, concurrency control in sql server', 'port 1433, data source views, data quality services, ms sql server, ms sql, ms-sql, microsoft sql, sqlcmd, pubs (database), sys.sysobjects, mssql, database engine tuning advisor, microsoft sql server, microsoft sql server compare tools, concurrency control in sql server']"
PostgreSQL,"['pgsql, postgres license, autovacuum, postsql, libpq, postgresql data base management system, university postgres, postgresql, table inheritance in postgresql, postgre, bruce momjian, postgres95, benchmarks for postgresql, postegresql, pgmanager, postgress, pgadmin, phppgadmin, postgres, postgre sql, pgadmin iii, portuguesesql, inheritance in postgresql, psql (postgresql), postgressql', 'pgsql, postgres license, autovacuum, postsql, libpq, postgresql data base management system, university postgres, postgresql, table inheritance in postgresql, postgre, bruce momjian, postgres95, benchmarks for postgresql, postegresql, pgmanager, postgress, pgadmin, phppgadmin, postgres, postgre sql, pgadmin iii, portuguesesql, inheritance in postgresql, psql (postgresql), postgressql']"
MariaDB,"['mariadb foundation, mariadb, mariadb.com, skysql, mariadb corporation, maria db']"
Oracle_Database,"['oracle9i, instantclient, oracle (dbms), oracle histograms, ora92, oracle database, oracle 11i, oracle (database), oracle11g, buffer pool, oracle8i, oracle 11g, oracle db, oracle11i, @oracledatabase, oracle xe, oracle (software), oracle rdbms, oracle r enterprise, oracle-managed files, program global area, oracle8, oracle express, oracle dbms, oracle express edition', 'oracle9i, instantclient, oracle (dbms), oracle histograms, ora92, oracle database, oracle 11i, oracle (database), oracle11g, buffer pool, oracle8i, oracle 11g, oracle db, oracle11i, @oracledatabase, oracle xe, oracle (software), oracle rdbms, oracle r enterprise, oracle-managed files, program global area, oracle8, oracle express, oracle dbms, oracle express edition']"
TerminusDB,"[nan, nan, nan]"
Asprise_OCR,"[nan, nan]"
Palm_OS,"['palm operating system, palm os version history, palm os handheld, palm os cobalt, garnet os, palm os garnet, hackmaster (software), hotsync, palmos, unistroke, palm os handhelds, palm os', 'palm operating system, palm os version history, palm os handheld, palm os cobalt, garnet os, palm os garnet, hackmaster (software), hotsync, palmos, unistroke, palm os handhelds, palm os']"
OCRFeeder,"[nan, nan]"
Digital_mailroom,"['digital mailroom', 'digital mailroom']"
OmniPage,"['omnipage, omnipage ultimate', 'omnipage, omnipage ultimate']"
Ocrad,"[nan, nan]"
CuneiForm_(software),"[nan, nan]"
Puma.NET,"[nan, nan]"
ReCAPTCHA,"['recaptcha.net, no captcha recaptcha, mailhide, read books, stop spam, im not a robot, recapchca, google captcha, recaptcha', 'recaptcha.net, no captcha recaptcha, mailhide, read books, stop spam, im not a robot, recapchca, google captcha, recaptcha']"
OCR-A,"['ocr fork, ocr a extended, iso 1073-1, ocr-a extended, ecma-8, ocr-a font', 'ocr fork, ocr a extended, iso 1073-1, ocr-a extended, ecma-8, ocr-a font']"
ABBYY_FineReader,"['abbyy, abbyy finereader, finereader', 'abbyy, abbyy finereader, finereader']"
OCRopus,"['ocropus (software), ocropus', 'ocropus (software), ocropus']"
E-aksharayan,"[nan, nan]"
GOCR,"['jocr, gnu optical character recognition, gnu optical character reader, libgocr', 'jocr, gnu optical character recognition, gnu optical character reader, libgocr']"
Tesseract_(software),"['google tesseract, tesseract ocr', 'google tesseract, tesseract ocr']"
VueScan,"['vuescan, vue scan, hamrick software', 'vuescan, vue scan, hamrick software']"
Live_ink_character_recognition_solution,"['live ink character recognition solution, orion live ink character recognition solution, orion liquid ink character recognition solution, licr solution', 'live ink character recognition solution, orion live ink character recognition solution, orion liquid ink character recognition solution, licr solution']"
Music_OCR,"['music ocr, music scanning software', 'music ocr, music scanning software']"
File_viewer,['document viewer']
TeX,"['tex (typesetting system), .tex, tex (typesetting), tex markup, tau epsilon chi, tex macro, tex license, tex primitive, plain tex, math mode, tex82, tekh, tex users group']"
OpenDocument,"['odf, opendocument), odt file, .odb, opendocument text, iso 26300, opendocument presentation, opendocument spreadsheet, .fodg, open document, iso/iec 26300, open document format, .ods, odt format, odf 1.0, opendocument, opendocument graphics, opendocument foundation, opendocument format, open document fellowship, odf 1.1, odf 1.2, .fods, opendocumentformat, iso/iec 26300:2006, opendocument database, iso26300, oasis opendocument, .odp, .fodt, odf chart, open document format for office applications, .odt, odt (computing), .odf, iec 26300, .odg, opendocment, .fodp']"
UNIX,"['unix box, unixes, unix, truly unix, traditional unix, list of unix user groups, unix systems, unix operating system, unix system, open group base specification']"
Amazon_Alexa,"['alexa voice service, privacy issues with amazon alexa, alexa skill, alexa skills kit, alexa conference, privacy concerns regarding amazon alexa', 'alexa voice service, privacy issues with amazon alexa, alexa skill, alexa skills kit, alexa conference, privacy concerns regarding amazon alexa', 'alexa voice service, privacy issues with amazon alexa, alexa skill, alexa skills kit, alexa conference, privacy concerns regarding amazon alexa']"
Microsoft_Agent,"['peedy, msagent, ms agent']"
Google_Assistant,"['hey google, google assistant, google duplex, duplex (ai)']"
Lucee,[nan]
DataNucleus,"['jpox, datanucleus']"
Eclipse_Gemini,[nan]
GlassFish,"['oracle glassfish server, sjsas, sun one application server, sun glassfish enterprise server, iplanet application server, java system application server, glassfish server, glassfish application server, sun java system application server, sun java application server']"
Cytoscape,[nan]
IntelliJ_IDEA,"['intellij, intellij idea']"
Concierge_OSGi,[nan]
Integrated_Genome_Browser,[nan]
JOSSO,[nan]
Multimedia_Home_Platform,"['multimedia home platform, dvb-mhp']"
IBM_Lotus_Expeditor,"['embedded rich client platform, lotus expeditor']"
BIRT_Project,"['eclipse birt, birt report, birt reports']"
JAR_(file_format),"['jar (computer science), java archive, jarfile, jar files, jar (file format), .jar, meta-inf, jar-file, java archives, jar file, jar file format', 'jar (computer science), java archive, jarfile, jar files, jar (file format), .jar, meta-inf, jar-file, java archives, jar file, jar file format']"
Virgo_(software),"['eclipse virgo, springsource dm server']"
Equinox_(OSGi),"['eclipse equinox, equinox osgi']"
