Original URL,Link Type,Link Subtype,Links
https://cso.kmi.open.ac.uk/topics/cooperative_game,other,related link,https://academic.microsoft.com/#/detail/47175762
https://cso.kmi.open.ac.uk/topics/cooperative_game,wikipedia,related link,http://en.wikipedia.org/wiki/Cooperative_game_theory
https://cso.kmi.open.ac.uk/topics/cfar,other,related link,https://academic.microsoft.com/#/detail/33404624
https://cso.kmi.open.ac.uk/topics/multi-class_classification,dbpedia,same as,http://dbpedia.org/resource/Multiclass_classification
https://cso.kmi.open.ac.uk/topics/multi-class_classification,other,same as,http://www.wikidata.org/entity/Q6934605
https://cso.kmi.open.ac.uk/topics/multi-class_classification,other,same as,http://rdf.freebase.com/ns/m.0bbxcvk
https://cso.kmi.open.ac.uk/topics/multi-class_classification,other,same as,http://yago-knowledge.org/resource/Multiclass_classification
https://cso.kmi.open.ac.uk/topics/multi-class_classification,wikipedia,related link,http://en.wikipedia.org/wiki/Multiclass_classification
https://cso.kmi.open.ac.uk/topics/traffic_grooming,other,related link,https://academic.microsoft.com/#/detail/162396882
https://cso.kmi.open.ac.uk/topics/lyapunov,other,related link,https://academic.microsoft.com/#/detail/60640748
https://cso.kmi.open.ac.uk/topics/evolutionary_programming,dbpedia,same as,http://dbpedia.org/resource/Evolutionary_programming
https://cso.kmi.open.ac.uk/topics/evolutionary_programming,other,same as,http://www.wikidata.org/entity/Q2596288
https://cso.kmi.open.ac.uk/topics/evolutionary_programming,other,same as,http://rdf.freebase.com/ns/m.02c8lq
https://cso.kmi.open.ac.uk/topics/evolutionary_programming,other,same as,http://yago-knowledge.org/resource/Evolutionary_programming
https://cso.kmi.open.ac.uk/topics/evolutionary_programming,other,related link,https://academic.microsoft.com/#/detail/121835503
https://cso.kmi.open.ac.uk/topics/evolutionary_programming,wikipedia,related link,http://en.wikipedia.org/wiki/Evolutionary_programming
https://cso.kmi.open.ac.uk/topics/random_number_generators,dbpedia,same as,http://dbpedia.org/resource/Random_number_generation
https://cso.kmi.open.ac.uk/topics/random_number_generators,other,same as,http://www.wikidata.org/entity/Q228206
https://cso.kmi.open.ac.uk/topics/random_number_generators,other,same as,http://rdf.freebase.com/ns/m.07_zds
https://cso.kmi.open.ac.uk/topics/random_number_generators,other,same as,http://yago-knowledge.org/resource/Random_number_generation
https://cso.kmi.open.ac.uk/topics/random_number_generators,wikipedia,related link,http://en.wikipedia.org/wiki/Random_number_generation
https://cso.kmi.open.ac.uk/topics/radar_detection,dbpedia,same as,http://dbpedia.org/resource/Radar
https://cso.kmi.open.ac.uk/topics/radar_detection,other,same as,http://www.wikidata.org/entity/Q47528
https://cso.kmi.open.ac.uk/topics/radar_detection,other,same as,http://rdf.freebase.com/ns/m.06dq9
https://cso.kmi.open.ac.uk/topics/radar_detection,wikipedia,related link,http://en.wikipedia.org/wiki/Radar
https://cso.kmi.open.ac.uk/topics/haptic_devices,dbpedia,same as,http://dbpedia.org/resource/Haptic_technology
https://cso.kmi.open.ac.uk/topics/haptic_devices,other,same as,http://www.wikidata.org/entity/Q3030571
https://cso.kmi.open.ac.uk/topics/haptic_devices,other,same as,http://rdf.freebase.com/ns/m.01rtsd
https://cso.kmi.open.ac.uk/topics/haptic_devices,other,same as,http://yago-knowledge.org/resource/Haptic_technology
https://cso.kmi.open.ac.uk/topics/haptic_devices,wikipedia,related link,http://en.wikipedia.org/wiki/Haptic_technology
https://cso.kmi.open.ac.uk/topics/facial_feature_extraction,dbpedia,same as,http://dbpedia.org/resource/Feature_extraction
https://cso.kmi.open.ac.uk/topics/facial_feature_extraction,other,same as,http://www.wikidata.org/entity/Q1026626
