Parent URL,Type,Tool URL,German Parent URL,German Tool URL
http://dbpedia.org/resource/Web_cache,Tool,http://dbpedia.org/resource/Apache_Traffic_Server,http://de.dbpedia.org/resource/Browser-Cache,
http://dbpedia.org/resource/Web_cache,Tool,http://dbpedia.org/resource/NetCache,http://de.dbpedia.org/resource/Browser-Cache,
http://dbpedia.org/resource/Web_cache,Tool,http://dbpedia.org/resource/Polipo,http://de.dbpedia.org/resource/Browser-Cache,http://de.dbpedia.org/resource/Polipo
http://dbpedia.org/resource/Web_cache,Tool,http://dbpedia.org/resource/SquidNT,http://de.dbpedia.org/resource/Browser-Cache,
http://dbpedia.org/resource/Web_cache,Tool,http://dbpedia.org/resource/Microsoft_Forefront_Threat_Management_Gateway,http://de.dbpedia.org/resource/Browser-Cache,http://de.dbpedia.org/resource/Forefront_Threat_Management_Gateway
http://dbpedia.org/resource/Model-driven_architecture,Tool,http://dbpedia.org/resource/Capella_(engineering),http://de.dbpedia.org/resource/Modellgetriebene_Architektur,
http://dbpedia.org/resource/Authentication,Tool,http://dbpedia.org/resource/SQRL,http://de.dbpedia.org/resource/Authentifizierung,
http://dbpedia.org/resource/Signal_processing,Tool,http://dbpedia.org/resource/Measurement_Studio,http://de.dbpedia.org/resource/Kategorie:Signalverarbeitung,
http://dbpedia.org/resource/Signal_processing,Tool,http://dbpedia.org/resource/Fsc2,http://de.dbpedia.org/resource/Kategorie:Signalverarbeitung,
http://dbpedia.org/resource/Signal_processing,Tool,http://dbpedia.org/resource/Modular_Audio_Recognition_Framework,http://de.dbpedia.org/resource/Kategorie:Signalverarbeitung,http://de.dbpedia.org/resource/Modular_Audio_Recognition_Framework
http://dbpedia.org/resource/Signal_processing,Tool,http://dbpedia.org/resource/LabVIEW,http://de.dbpedia.org/resource/Kategorie:Signalverarbeitung,http://de.dbpedia.org/resource/LabVIEW
http://dbpedia.org/resource/Signal_processing,Tool,http://dbpedia.org/resource/LabWindows/CVI,http://de.dbpedia.org/resource/Kategorie:Signalverarbeitung,http://de.dbpedia.org/resource/LabWindows/CVI
http://dbpedia.org/resource/Signal_processing,Tool,http://dbpedia.org/resource/NU-Tech,http://de.dbpedia.org/resource/Kategorie:Signalverarbeitung,
http://dbpedia.org/resource/Debugging,Tool,http://dbpedia.org/resource/VisualVM,http://de.dbpedia.org/resource/Debuggen,
http://dbpedia.org/resource/Debugging,Tool,http://dbpedia.org/resource/Strace,http://de.dbpedia.org/resource/Debuggen,
http://dbpedia.org/resource/Debugging,Tool,http://dbpedia.org/resource/Cheat_Engine,http://de.dbpedia.org/resource/Debuggen,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/CaBIG,http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Cancer_Biomedical_Informatics_Grid
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Fuse_Mediation_Router,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/CaBIG__caGrid__1,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Apache_Axis,http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Apache_Axis
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Apache_Axis2,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Fuse_Services_Framework,http://de.dbpedia.org/resource/Kategorie:Webservice,
