Parent URL,Type,Tool URL
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Zo_(bot)
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Bruno_Sartori
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Celia_(virtual_assistant)
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/ADS-AC
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Afiniti
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Tay_(bot)
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Open_Neural_Network_Exchange
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Your.MD
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/CaBIG
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Fuse_Mediation_Router
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/CaBIG__caGrid__1
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Apache_Axis
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Apache_Axis2
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Fuse_Services_Framework
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Eclipse_Metro
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Hessian_(Web_service_protocol)
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Karelia_Watson
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/IBM_cloud_computing
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Open_Build_Service
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Oracle_Cloud
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Microsoft_Azure__Microsoft_Azure__1
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/MediaLib
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/QuarkImmedia
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Lightspark
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/MKVToolNix
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Snow_(app)
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Adobe_Scout
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Allegro_(software_library)
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/DIPS_(Digital_Image_Processing_with_Sound)
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Echo_Lake_(software)
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Hike_Messenger
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/John_Kaefer
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Marios_Joannou_Elia
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/CD-ROM_Today
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Korsakow
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/SecureTribe
